,date,open,low,high,close,volume
0,2020-01-06,53.8,53.55,54.12,53.75,2585939
1,2020-01-03,53.67,53.56,54.35,53.8,976142
2,2020-01-02,54.68,53.39,54.77,53.63,1387300
3,2020-04-06,46.47,46.1,48.68,47.83,1321627
4,2020-04-03,46.37,44.74,47.35,45.15,1487100
5,2020-04-02,44.03,43.61,47.29,46.92,1662114
6,2020-04-01,46.46,43.97,46.92,44.97,1889300
7,2020-03-31,49.67,48.01,50.49,48.29,2879190
8,2020-03-30,48.37,47.35,50.79,50.57,2166656
9,2020-03-27,46.37,45.67,49.33,47.75,1759946
10,2020-03-26,44.24,44.18,48.62,47.9,2889345
11,2020-03-25,43.07,40.51,45.89,44.18,3493133
12,2020-03-24,41.0,39.34,44.02,43.86,4065700
13,2020-03-23,40.28,37.66,40.72,39.99,2854096
14,2020-03-20,45.06,40.21,45.14,40.7,3291100
15,2020-03-19,49.04,44.51,49.4,45.03,2256972
16,2020-03-18,50.07,46.75,51.56,48.97,2835848
17,2020-03-17,48.6,48.51,53.94,52.37,4083100
18,2020-03-16,47.87,46.43,50.29,47.56,4457000
19,2020-03-13,49.92,47.55,51.1,50.9,2375900
20,2020-03-12,48.75,45.37,51.73,48.18,3107641
21,2020-03-11,52.81,50.91,53.8,51.59,3135607
22,2020-03-10,54.77,51.96,56.04,54.0,3358600
23,2020-03-09,54.62,53.19,56.41,54.16,3383800
24,2020-03-06,56.02,54.96,57.72,57.49,2469800
25,2020-03-05,57.02,56.58,58.02,57.39,1618100
26,2020-03-04,55.42,54.99,58.15,57.86,1672613
27,2020-03-03,55.29,54.56,56.54,54.77,2248746
28,2020-03-02,52.21,52.13,55.47,55.36,2205327
29,2020-02-28,54.0,51.25,54.0,52.12,3409341
30,2020-02-27,57.83,54.85,58.03,54.95,2215449
31,2020-02-26,58.06,57.8,58.76,57.83,2267833
32,2020-02-25,58.9,57.95,59.51,58.01,1873828
33,2020-02-24,59.36,58.73,59.8,58.84,1655648
34,2020-02-21,59.65,59.01,60.27,59.14,2395200
35,2020-02-20,59.37,59.11,59.67,59.57,1315706
36,2020-02-19,60.15,59.39,60.15,59.47,950339
37,2020-02-18,59.95,59.74,60.28,60.17,959430
38,2020-02-14,59.47,59.33,59.78,59.74,1144500
39,2020-02-13,58.63,58.52,59.39,59.38,1419800
40,2020-02-12,58.2,58.15,58.79,58.66,1104100
41,2020-02-11,58.47,58.34,58.74,58.39,1073922
42,2020-02-10,58.49,58.22,58.57,58.42,1250900
43,2020-02-07,58.77,58.31,58.97,58.33,1249745
44,2020-02-06,58.68,58.41,58.89,58.53,2040700
45,2020-02-05,58.5,58.3,58.88,58.56,1586062
46,2020-02-04,59.44,58.57,59.59,58.66,1304900
47,2020-02-03,59.58,59.27,59.71,59.52,1248550
48,2020-01-31,59.26,59.11,59.74,59.36,1154206
49,2020-01-30,58.92,58.55,59.47,59.42,1146426
50,2020-01-29,59.25,58.77,59.25,59.08,1230600
51,2020-01-28,59.05,58.68,59.34,59.15,1839609
52,2020-01-27,59.01,58.59,59.43,58.83,1156531
53,2020-01-24,58.46,58.34,59.02,58.93,1290545
54,2020-01-23,57.78,57.67,58.49,58.46,1328200
55,2020-01-22,57.56,57.46,57.96,57.75,1207722
56,2020-01-21,57.23,56.83,57.54,57.36,1821400
57,2020-01-17,56.87,56.42,57.24,57.16,2231600
58,2020-01-16,56.49,56.26,56.79,56.78,1304617
59,2020-01-15,55.83,55.76,56.31,56.26,1434243
60,2020-01-14,55.62,55.16,55.78,55.62,1138529
61,2020-01-13,55.15,55.02,55.78,55.58,1168704
62,2020-01-10,54.67,54.57,55.22,55.07,1289203
63,2020-01-09,53.86,53.68,54.59,54.53,1869727
64,2020-01-08,53.82,53.65,54.08,53.92,1504336
65,2020-01-07,53.65,53.32,53.84,53.8,1815100
66,2020-07-06,49.75,48.76,50.19,49.0,1532117
67,2020-07-02,49.32,49.09,49.64,49.42,1148100
68,2020-07-01,47.77,47.68,48.96,48.76,959704
69,2020-06-30,47.41,47.29,48.14,47.84,1489060
70,2020-06-29,47.61,46.72,47.64,47.4,1321030
71,2020-06-26,46.83,46.4,47.56,47.05,3342608
72,2020-06-25,47.06,46.15,47.18,46.77,1753467
73,2020-06-24,47.4,46.57,47.61,47.12,2309500
74,2020-06-23,48.96,47.67,49.67,47.89,1056725
