,date,open,low,high,close,volume
755,2022-10-03,93.38,92.73,95.33,94.66,3487683
754,2022-10-04,95.93,95.89,96.97,96.67,3352181
753,2022-10-05,95.6,94.83,97.07,96.29,3062082
752,2022-10-06,95.61,92.14,96.1,92.9,5176730
751,2022-10-07,92.28,89.53,92.6,89.89,5138857
750,2022-10-10,90.74,89.62,91.23,90.68,3088681
749,2022-10-11,90.71,90.25,92.34,91.0,3463036
748,2022-10-12,90.77,90.5,91.72,91.09,3290551
747,2022-10-13,89.88,89.52,96.01,95.53,5708508
746,2022-10-14,95.53,94.35,96.28,95.0,4138417
745,2022-10-17,96.41,94.72,96.75,95.2,3592577
744,2022-10-18,96.77,95.69,97.32,96.94,3066923
743,2022-10-19,96.23,94.68,96.72,95.48,3084348
742,2022-10-20,95.3,94.38,96.69,94.57,3759098
741,2022-10-21,94.6,94.52,97.77,97.66,3997808
740,2022-10-24,98.26,97.98,99.61,98.97,4059568
739,2022-10-25,94.9,94.6,99.16,99.07,5997922
738,2022-10-26,99.99,99.99,103.08,102.59,5536615
737,2022-10-27,103.25,102.02,104.05,102.67,4445279
736,2022-10-28,102.82,102.43,105.91,105.85,4560133
735,2022-10-31,105.43,104.81,105.72,105.17,5174619
734,2022-11-01,105.99,104.15,106.27,104.76,2549837
733,2022-11-02,104.54,102.54,106.02,102.72,3064165
732,2022-11-03,101.98,101.27,103.91,102.71,2400415
731,2022-11-04,104.06,102.97,104.82,104.38,2775773
730,2022-11-07,104.2,103.09,104.63,104.24,2289720
729,2022-11-08,104.81,103.71,105.88,104.8,2182613
728,2022-11-09,104.75,103.44,105.08,103.53,2131827
727,2022-11-10,106.73,106.07,108.07,107.98,3779243
726,2022-11-11,108.35,107.98,111.61,111.18,4101703
725,2022-11-14,110.82,109.48,111.96,109.55,3128133
724,2022-11-15,110.8,108.5,111.6,109.71,3008163
723,2022-11-16,109.9,107.36,109.9,107.64,3837332
722,2022-11-17,105.47,104.23,106.37,106.31,2690514
721,2022-11-18,107.02,105.26,107.3,105.98,3799235
720,2022-11-21,105.88,105.54,106.92,106.71,2575869
719,2022-11-22,107.14,106.45,107.58,107.52,2101834
718,2022-11-23,107.51,106.38,107.95,107.02,2810637
717,2022-11-25,107.75,107.45,108.54,107.89,1055387
716,2022-11-28,107.11,103.77,107.5,104.21,3317939
715,2022-11-29,103.74,103.68,105.63,105.45,2228455
714,2022-11-30,105.26,101.47,105.55,105.32,6973824
713,2022-12-01,106.43,104.77,107.74,105.34,3156342
712,2022-12-02,104.31,103.87,106.39,106.17,2179083
711,2022-12-05,104.57,103.9,104.89,104.2,2563252
710,2022-12-06,104.63,103.1,105.12,104.16,2295852
709,2022-12-07,103.95,103.76,106.44,105.64,3231254
708,2022-12-08,106.18,104.89,108.22,105.35,4527581
707,2022-12-09,106.0,105.07,106.62,105.14,2792842
706,2022-12-12,105.41,103.84,106.09,106.06,4638111
705,2022-12-13,108.23,105.74,108.71,106.42,3895424
704,2022-12-14,105.76,104.37,107.41,105.42,3702708
703,2022-12-15,104.33,101.79,104.58,102.32,3990945
702,2022-12-16,101.42,100.34,101.83,101.74,9089936
701,2022-12-19,101.44,101.3,103.48,102.11,2918665
700,2022-12-20,101.99,100.91,102.27,101.01,3472145
699,2022-12-21,101.86,101.59,103.54,103.22,3083598
698,2022-12-22,102.19,99.66,102.42,101.66,2618751
697,2022-12-23,100.99,98.49,101.17,100.45,3121005
696,2022-12-27,100.45,99.63,101.02,100.51,2166293
695,2022-12-28,100.62,98.87,101.17,98.9,2345540
694,2022-12-29,99.38,99.07,101.05,100.81,2465004
693,2022-12-30,100.04,99.08,100.35,100.26,2506959
692,2022-07-05,106.16,105.01,108.22,108.03,4671257
691,2022-07-06,108.27,106.98,109.52,108.56,3625978
690,2022-07-07,108.8,106.66,108.95,108.73,4126092
689,2022-07-08,108.54,107.13,108.82,107.62,2620939
688,2022-07-11,107.63,107.48,109.12,107.86,3221440
687,2022-07-12,107.98,107.9,110.39,108.86,3155390
686,2022-07-13,107.02,106.74,108.26,107.33,2978546
685,2022-07-14,106.16,105.25,107.47,107.28,3020835
684,2022-07-15,108.58,107.23,108.97,108.8,3155984
683,2022-07-18,108.85,107.45,109.38,107.78,3038048
682,2022-07-19,109.02,108.74,110.59,110.47,3364220
681,2022-07-20,110.46,110.24,111.59,111.21,2398628
680,2022-07-21,111.23,110.67,112.02,111.99,1996294
679,2022-07-22,112.58,111.6,112.83,112.13,2105132
678,2022-07-25,112.03,111.85,112.95,112.13,2815633
677,2022-07-26,119.99,115.81,121.82,117.68,15012059
676,2022-07-27,116.73,115.02,117.23,116.1,6016557
675,2022-07-28,116.97,115.63,117.58,117.36,3700886
674,2022-07-29,117.69,116.9,120.16,119.76,4782233
673,2022-08-01,118.85,118.37,120.44,119.86,3415855
672,2022-08-02,119.22,118.41,120.03,118.51,3226901
671,2022-08-03,118.64,118.35,120.24,119.97,3271817
670,2022-08-04,119.97,119.73,124.02,123.84,7062599
669,2022-08-05,122.91,122.39,124.15,123.25,5008428
668,2022-08-08,123.76,123.39,125.54,124.14,3765821
667,2022-08-09,124.0,123.06,124.62,123.61,3628432
666,2022-08-10,125.31,124.44,125.92,124.89,3046485
665,2022-08-11,125.41,124.88,126.62,125.13,2748972
664,2022-08-12,125.72,125.41,127.33,127.28,2807240
663,2022-08-15,126.57,125.81,127.17,126.61,2796600
662,2022-08-16,125.8,124.47,126.5,125.63,5253716
661,2022-08-17,124.11,122.96,124.4,123.26,5833078
660,2022-08-18,123.24,121.55,123.27,122.64,6762912
659,2022-08-19,120.9,119.73,121.77,121.4,15205870
658,2022-08-22,119.79,117.91,120.13,118.38,12179956
657,2022-08-23,117.89,117.64,119.07,118.51,18369597
656,2022-08-24,117.81,116.81,118.38,117.92,18455925
655,2022-08-25,117.95,117.59,119.78,119.36,56640385
654,2022-08-26,120.09,107.59,120.4,107.97,45909932
653,2022-08-29,107.68,104.74,107.68,105.71,60440041
652,2022-08-30,106.09,102.86,106.8,104.39,41238567
651,2022-08-31,104.38,103.35,105.73,103.97,37846060
650,2022-09-01,103.92,103.4,105.67,105.04,37095179
649,2022-09-02,105.37,101.29,105.65,101.71,14736758
648,2022-09-06,101.47,96.97,101.58,97.49,36759429
647,2022-09-07,97.52,97.0,101.37,100.79,44934617
646,2022-09-08,98.98,97.95,100.15,99.72,30787711
645,2022-09-09,101.39,100.22,103.08,102.92,31361198
644,2022-09-12,103.94,103.65,105.78,103.88,22691626
643,2022-09-13,102.09,100.52,104.17,100.72,9287998
642,2022-09-14,100.82,97.24,100.82,98.26,6782303
641,2022-09-15,98.51,97.04,99.28,97.34,4847376
640,2022-09-16,95.9,95.4,98.08,97.49,8685741
639,2022-09-19,96.99,96.38,97.75,97.52,3815809
638,2022-09-20,96.4,95.94,97.99,97.42,4969842
637,2022-09-21,97.68,95.98,98.68,95.99,4468284
636,2022-09-22,95.45,94.84,96.19,95.43,4399181
635,2022-09-23,95.09,93.32,95.45,94.47,4405987
634,2022-09-26,94.28,93.83,95.15,94.48,4303613
633,2022-09-27,95.42,93.16,95.42,93.98,3976036
632,2022-09-28,94.9,94.53,95.91,95.55,4398876
631,2022-09-29,94.44,93.31,94.81,93.89,2769918
630,2022-09-30,93.64,92.29,94.6,92.39,3723096
629,2022-04-05,124.28,124.17,125.94,124.49,2569886
628,2022-04-06,123.18,122.95,125.74,125.66,3235972
627,2022-04-07,124.9,123.37,125.8,125.37,2630100
626,2022-04-08,126.25,124.89,126.79,125.25,3337652
625,2022-04-11,125.79,125.38,127.27,125.51,2964762
624,2022-04-12,126.53,123.81,126.69,124.22,3125403
623,2022-04-13,124.17,123.38,124.72,124.29,2382738
622,2022-04-14,124.28,123.07,125.07,123.22,2788108
621,2022-04-18,123.28,121.86,124.02,122.22,2124017
620,2022-04-19,122.78,122.78,125.9,125.49,2746202
619,2022-04-20,126.09,125.85,127.5,125.9,2368200
618,2022-04-21,127.07,126.51,128.0,126.89,2795677
617,2022-04-22,126.08,123.94,126.24,124.72,3776460
616,2022-04-25,124.33,121.97,124.6,124.24,4105117
615,2022-04-26,121.57,119.45,122.89,120.58,5789412
614,2022-04-27,121.05,120.17,122.13,120.57,3736986
613,2022-04-28,121.02,120.5,123.51,123.02,3036799
612,2022-04-29,123.15,120.29,124.21,120.58,4966373
611,2022-05-02,120.82,120.21,123.32,121.99,4446134
610,2022-05-03,122.24,122.0,124.45,123.81,3000583
609,2022-05-04,124.58,123.64,129.31,128.95,4418540
608,2022-05-05,128.06,123.93,128.46,124.96,3966073
607,2022-05-06,124.8,122.64,125.22,125.02,2954635
606,2022-05-09,124.11,123.69,128.56,127.4,4979377
605,2022-05-10,128.76,123.85,128.79,124.68,4190369
604,2022-05-11,125.4,122.21,125.52,122.41,3287042
603,2022-05-12,122.56,122.08,125.09,125.07,3371765
602,2022-05-13,125.59,123.71,125.7,124.83,3293316
601,2022-05-16,124.76,122.32,126.11,125.83,3245864
600,2022-05-17,127.08,125.85,127.5,127.37,2519840
599,2022-05-18,126.74,124.13,126.84,124.52,3538745
598,2022-05-19,122.23,120.49,124.49,122.87,3285188
597,2022-05-20,123.35,117.96,123.69,120.25,5017918
596,2022-05-23,120.88,120.4,122.04,120.71,3392123
595,2022-05-24,120.69,117.89,122.25,121.86,3156444
594,2022-05-25,121.59,120.02,122.2,121.89,2244857
593,2022-05-26,122.69,122.65,124.42,122.94,2544351
592,2022-05-27,123.91,123.63,125.01,125.0,2125021
591,2022-05-31,123.96,122.01,125.28,124.82,4956518
590,2022-06-01,124.85,121.73,124.98,122.42,2883021
589,2022-06-02,123.34,120.81,123.98,123.89,2274336
588,2022-06-03,122.9,121.5,123.3,122.04,2244301
587,2022-06-06,122.39,121.77,123.15,122.24,1884589
586,2022-06-07,121.6,120.24,122.89,122.79,2159301
585,2022-06-08,121.7,120.64,122.58,121.58,2046985
584,2022-06-09,121.66,120.51,123.06,120.55,2593435
583,2022-06-10,118.72,115.03,119.12,115.09,7038658
582,2022-06-13,114.32,113.39,115.66,114.02,4922994
581,2022-06-14,114.27,112.37,115.67,113.08,3199663
580,2022-06-15,113.51,111.25,114.27,112.31,3912482
579,2022-06-16,110.82,108.97,110.82,109.48,4459174
578,2022-06-17,109.33,107.62,110.26,108.56,8589102
577,2022-06-21,108.97,108.08,109.59,108.7,4459416
576,2022-06-22,107.66,107.18,110.01,109.02,3470199
575,2022-06-23,108.87,107.44,109.58,108.82,2680406
574,2022-06-24,109.97,109.73,112.49,112.31,4376828
573,2022-06-27,112.38,110.6,112.6,111.03,2856951
572,2022-06-28,111.92,108.82,112.51,108.97,2884521
571,2022-06-29,108.69,107.69,108.97,108.5,3374267
570,2022-06-30,107.61,106.43,108.87,108.2,3996230
569,2022-07-01,108.2,105.86,108.55,107.43,4450353
568,2022-01-04,149.22,148.84,151.55,150.69,3016707
567,2022-01-05,148.09,147.99,151.98,150.07,3531266
566,2022-01-06,151.23,148.44,151.56,148.82,2996788
565,2022-01-07,148.93,148.17,150.9,150.45,3349259
564,2022-01-10,150.03,147.8,150.35,148.33,2772454
563,2022-01-11,148.82,147.5,150.12,149.64,2708101
562,2022-01-12,149.66,149.31,150.5,150.01,2067344
561,2022-01-13,150.39,149.68,151.61,151.35,2505388
560,2022-01-14,151.21,148.55,151.21,149.44,2734375
559,2022-01-18,148.97,147.29,149.28,149.06,2883299
558,2022-01-19,150.35,148.51,151.22,149.22,2354685
557,2022-01-20,149.31,144.9,149.84,145.12,3369671
556,2022-01-21,144.98,144.27,147.17,144.35,4161176
555,2022-01-24,143.69,141.15,144.82,144.47,5637842
554,2022-01-25,145.08,140.47,145.95,145.27,6041469
553,2022-01-26,145.71,140.63,146.52,141.55,5274586
552,2022-01-27,141.38,140.83,143.91,142.27,3329326
551,2022-01-28,140.79,134.22,141.09,136.36,7441386
550,2022-01-31,136.03,135.1,139.03,138.81,6088446
549,2022-02-01,138.45,137.75,140.43,139.98,3573907
548,2022-02-02,140.29,138.62,141.51,139.34,3817043
547,2022-02-03,139.01,137.2,139.4,137.44,3120154
