,date,open,low,high,close,volume
0,2020-01-06,49.63,49.43,50.07,49.83,6532593
1,2020-01-03,49.17,49.16,49.95,49.63,7850783
2,2020-01-02,50.19,49.05,50.34,49.25,8717200
3,2020-04-06,38.51,37.03,38.87,37.28,14463800
4,2020-04-03,36.61,36.15,37.7,37.41,10338000
5,2020-04-02,36.13,35.34,36.55,36.22,14393749
6,2020-04-01,36.85,36.69,37.98,37.61,18310500
7,2020-03-31,36.76,36.75,38.96,38.67,15865829
8,2020-03-30,36.88,36.37,37.92,37.31,18352946
9,2020-03-27,34.5,34.05,38.04,36.64,14679651
10,2020-03-26,34.64,34.64,36.82,36.64,14410164
11,2020-03-25,32.23,31.71,36.14,34.37,21540917
12,2020-03-24,32.13,31.77,33.34,32.38,21746000
13,2020-03-23,32.92,30.95,33.26,31.38,24246000
14,2020-03-20,36.16,34.14,36.98,34.28,21595700
15,2020-03-19,37.63,34.83,37.63,37.1,15889807
16,2020-03-18,37.5,35.0,39.0,38.32,18217800
17,2020-03-17,38.9,38.13,40.58,39.85,16972000
18,2020-03-16,35.93,34.38,41.26,38.22,18032100
19,2020-03-13,38.25,36.73,40.2,40.07,16308904
20,2020-03-12,37.47,35.78,38.6,36.42,19322800
21,2020-03-11,40.85,40.14,41.55,40.48,16561511
22,2020-03-10,41.47,40.42,42.52,42.15,20532700
23,2020-03-09,39.8,39.44,41.77,40.34,16480100
24,2020-03-06,41.86,41.12,42.45,42.15,15485300
25,2020-03-05,42.73,42.54,43.88,43.16,11502332
26,2020-03-04,42.4,42.09,43.95,43.93,12612900
27,2020-03-03,42.16,41.47,43.6,41.9,18031600
28,2020-03-02,40.46,40.06,42.08,42.07,14560000
29,2020-02-28,39.37,38.57,40.5,40.37,24002278
30,2020-02-27,41.85,40.3,42.47,40.3,13884536
31,2020-02-26,42.39,42.11,43.1,42.12,14298087
32,2020-02-25,43.71,42.32,44.26,42.49,12475900
33,2020-02-24,45.29,43.58,45.69,43.8,18907834
