,date,open,low,high,close,volume
0,2020-01-06,46.65,46.59,47.39,47.34,6804300
1,2020-01-03,47.44,46.9,47.6,47.01,6698924
2,2020-01-02,47.76,47.55,48.38,48.23,5645779
3,2020-04-06,35.36,34.51,36.42,36.08,11659228
4,2020-04-03,34.08,33.01,34.97,33.6,9127900
5,2020-04-02,32.42,32.32,34.57,34.39,15329504
6,2020-04-01,31.83,31.59,33.55,32.96,11700200
7,2020-03-31,33.89,33.0,34.81,33.62,10708602
8,2020-03-30,33.19,32.69,34.57,34.33,10078800
9,2020-03-27,32.56,32.13,34.87,33.61,12461712
10,2020-03-26,34.17,32.97,36.3,34.16,16976561
11,2020-03-25,31.12,30.44,36.87,34.17,22746217
12,2020-03-24,30.26,29.24,31.53,30.72,17925242
13,2020-03-23,30.82,28.01,30.82,28.5,20573000
14,2020-03-20,32.5,30.03,32.94,30.75,15922775
15,2020-03-19,31.45,30.03,32.95,31.82,18311145
16,2020-03-18,31.09,30.36,34.08,32.42,24241700
17,2020-03-17,31.39,28.92,33.73,33.68,21796200
18,2020-03-16,28.59,28.0,32.66,30.56,23373914
19,2020-03-13,30.38,30.04,33.9,33.87,26153234
20,2020-03-12,29.96,28.11,30.31,28.43,32521615
21,2020-03-11,31.9,31.25,33.89,32.43,27993364
22,2020-03-10,31.88,30.0,32.94,32.94,20293223
23,2020-03-09,30.86,30.19,31.87,30.27,24766542
24,2020-03-06,33.05,32.64,35.06,34.13,29385714
25,2020-03-05,35.9,34.45,35.9,34.8,28000700
26,2020-03-04,38.45,36.74,38.54,37.16,26339300
27,2020-03-03,41.62,37.95,41.95,38.3,28382024
28,2020-03-02,40.9,39.57,42.05,41.98,21834198
29,2020-02-28,40.25,39.51,41.62,40.75,27463020
30,2020-02-27,40.18,40.09,43.0,41.91,28185265
31,2020-02-26,42.01,41.22,42.4,41.42,15389563
32,2020-02-25,43.99,41.38,44.01,41.6,16466075
33,2020-02-24,44.48,43.48,44.56,43.8,13407723
34,2020-02-21,48.09,45.93,48.43,46.19,13502093
35,2020-02-20,47.34,47.3,49.55,48.58,16198810
36,2020-02-19,46.99,46.83,47.85,47.44,6377500
37,2020-02-18,47.03,46.2,47.31,46.73,8165700
38,2020-02-14,47.12,46.68,47.32,47.23,7106677
39,2020-02-13,47.39,47.15,47.6,47.29,5873145
40,2020-02-12,48.1,47.59,48.35,47.79,5136400
41,2020-02-11,47.03,46.86,47.97,47.67,7082600
42,2020-02-10,46.89,46.49,47.2,46.77,6062000
43,2020-02-07,47.1,46.92,47.59,47.31,5680200
44,2020-02-06,48.64,47.32,48.78,47.83,8767600
45,2020-02-05,47.84,47.49,48.35,48.29,9583003
46,2020-02-04,46.66,46.5,47.98,47.08,10595100
47,2020-02-03,45.86,45.58,46.91,45.68,10490511
48,2020-01-31,46.63,45.47,46.83,45.55,12297380
49,2020-01-30,45.4,45.39,47.33,47.19,11536600
50,2020-01-29,46.58,45.89,46.72,45.95,5918724
51,2020-01-28,46.14,45.81,46.59,46.3,7282900
52,2020-01-27,46.0,45.59,46.36,45.76,9537889
53,2020-01-24,48.39,47.0,48.52,47.15,11268100
54,2020-01-23,48.4,47.96,48.66,48.42,8126208
55,2020-01-22,48.15,47.86,49.03,48.93,6699817
56,2020-01-21,48.04,47.82,48.88,48.45,8850267
57,2020-01-17,49.1,48.15,49.26,48.34,10257157
58,2020-01-16,46.99,46.98,49.07,49.0,13752569
59,2020-01-15,47.31,46.93,47.65,47.12,7654921
60,2020-01-14,48.07,47.54,48.12,47.71,8874757
61,2020-01-13,48.17,47.78,48.25,48.02,8906000
62,2020-01-10,48.13,47.62,48.16,47.8,7452948
63,2020-01-09,48.5,47.89,48.54,48.11,9749820
64,2020-01-08,47.47,47.39,48.0,47.91,10887013
65,2020-01-07,47.34,47.3,48.01,47.62,9988785
66,2020-07-06,34.1,34.01,34.89,34.21,13573679
67,2020-07-02,33.8,33.28,34.19,33.39,7862700
68,2020-07-01,33.68,32.81,34.12,33.02,21721444
69,2020-06-30,32.6,32.53,33.99,33.74,15650400
70,2020-06-29,32.1,31.93,32.78,32.75,12378618
71,2020-06-26,33.62,31.63,33.75,31.75,28270700
72,2020-06-25,33.58,33.28,34.23,34.08,14814500
73,2020-06-24,35.5,33.67,35.54,33.8,14398522
74,2020-06-23,36.82,35.88,37.07,35.89,9923139
75,2020-06-22,36.41,36.17,36.77,36.42,8242752
76,2020-06-19,37.66,35.76,37.66,36.67,14817900
77,2020-06-18,36.3,36.01,37.07,36.88,10430497
78,2020-06-17,37.04,36.44,37.21,36.67,12120929
79,2020-06-16,37.87,36.42,38.0,36.92,12663243
80,2020-06-15,35.35,35.16,37.15,36.65,10015161
81,2020-06-12,37.65,35.44,37.7,36.56,15666500
82,2020-06-11,36.54,36.08,37.57,36.16,11348300
83,2020-06-10,39.65,38.04,39.95,38.12,11641200
84,2020-06-09,40.65,40.09,41.09,40.18,11529200
85,2020-06-08,43.01,41.32,43.27,41.82,12200419
86,2020-06-05,44.71,42.71,45.86,42.82,20489936
87,2020-06-04,40.02,39.15,41.72,41.68,26855949
88,2020-06-03,38.3,38.1,39.65,39.51,9672100
89,2020-06-02,37.0,36.76,37.53,37.14,6232941
90,2020-06-01,36.04,35.94,36.63,36.51,7469800
91,2020-05-29,35.42,35.22,36.07,35.91,14247662
92,2020-05-28,37.56,35.91,37.63,36.01,8761370
93,2020-05-27,36.2,35.81,37.09,37.09,13261300
94,2020-05-26,34.2,34.03,34.96,34.5,14756161
95,2020-05-22,33.09,32.44,33.23,32.83,7300555
96,2020-05-21,33.24,32.9,33.66,33.22,7426300
97,2020-05-20,33.0,32.78,33.94,33.69,8876236
98,2020-05-19,34.0,32.97,34.3,32.99,7009100
99,2020-05-18,33.86,33.04,34.59,34.21,15301001
100,2020-05-15,32.87,32.44,33.24,32.56,6780931
101,2020-05-14,32.23,31.89,33.5,33.4,10143201
102,2020-05-13,34.04,32.62,34.15,33.15,10168360
103,2020-05-12,36.01,33.97,36.01,34.32,10475347
104,2020-05-11,35.93,35.8,36.36,35.84,9750800
105,2020-05-08,35.88,35.81,36.66,36.51,9489401
106,2020-05-07,34.7,34.61,36.27,35.17,10673024
107,2020-05-06,35.33,34.54,35.48,34.57,5791229
108,2020-05-05,36.25,34.86,36.25,34.9,7645300
109,2020-05-04,36.07,35.19,36.25,35.63,7292262
110,2020-05-01,36.7,36.28,36.95,36.45,8176629
111,2020-04-30,38.0,37.55,38.6,37.72,8061748
112,2020-04-29,38.12,37.81,39.09,38.79,8225300
113,2020-04-28,37.66,36.92,37.94,37.08,7674800
114,2020-04-27,35.92,35.65,37.07,36.84,11030822
115,2020-04-24,36.13,35.22,36.34,35.4,8043219
116,2020-04-23,36.18,35.33,36.49,35.64,8748823
117,2020-04-22,36.47,35.66,36.55,35.87,8397376
118,2020-04-21,35.54,35.19,36.17,35.94,9671920
119,2020-04-20,35.13,35.11,36.84,36.59,11016783
120,2020-04-17,36.2,35.36,37.05,35.79,13305035
121,2020-04-16,34.12,33.67,35.04,34.6,10852120
122,2020-04-15,34.53,33.7,34.97,34.67,11516498
123,2020-04-14,35.64,34.61,36.36,36.21,12376800
124,2020-04-13,36.4,34.49,36.62,34.77,11531427
125,2020-04-09,37.21,36.11,37.95,36.54,12362301
126,2020-04-08,35.45,34.63,36.76,36.49,8104672
127,2020-04-07,37.8,34.73,37.8,34.94,13104640
128,2020-10-05,38.17,36.75,38.71,36.94,94997700
129,2020-10-02,37.17,37.07,38.48,37.67,22728265
130,2020-10-01,36.91,36.6,37.76,37.73,19959112
131,2020-09-30,36.08,35.96,36.68,36.23,7214300
132,2020-09-29,36.15,35.49,36.26,35.78,7150300
133,2020-09-28,35.51,35.42,36.31,36.2,6035488
134,2020-09-25,34.1,33.96,35.07,34.94,5768400
135,2020-09-24,34.91,34.1,34.97,34.36,7039200
136,2020-09-23,35.19,34.77,35.81,34.78,8152049
137,2020-09-22,35.17,34.45,35.8,34.97,7816900
138,2020-09-21,35.14,34.5,35.92,35.24,11448100
139,2020-09-18,35.61,35.61,36.54,36.03,9021042
140,2020-09-17,35.14,35.06,36.07,35.81,7298589
141,2020-09-16,34.93,34.81,36.08,35.73,8778900
142,2020-09-15,34.68,33.79,35.12,34.75,12952500
143,2020-09-14,35.5,35.33,36.17,35.73,6875630
144,2020-09-11,34.69,34.69,35.57,35.24,5890300
145,2020-09-10,35.2,34.52,35.38,34.66,5709901
146,2020-09-09,34.93,34.56,35.27,35.03,7657700
147,2020-09-08,35.47,34.61,35.7,34.66,9023220
148,2020-09-04,36.25,35.63,36.89,36.2,11454000
149,2020-09-03,36.3,35.2,36.88,35.39,13777918
150,2020-09-02,35.78,35.46,36.12,35.97,8021200
151,2020-09-01,35.16,34.96,36.26,35.8,6146828
152,2020-08-31,36.13,35.45,36.2,35.53,8331400
153,2020-08-28,36.15,35.85,36.47,36.28,6156500
154,2020-08-27,35.49,35.13,36.37,36.08,6467447
155,2020-08-26,35.58,35.12,35.72,35.42,4117870
156,2020-08-25,35.5,35.24,35.87,35.55,5261042
157,2020-08-24,34.5,34.46,35.5,35.12,9920000
158,2020-08-21,34.55,34.23,34.89,34.45,5804500
159,2020-08-20,35.23,34.48,35.35,34.55,8161000
160,2020-08-19,34.95,34.95,35.9,35.71,8035700
161,2020-08-18,34.5,34.24,35.0,34.95,7710000
162,2020-08-17,34.88,34.47,35.28,34.62,8341023
163,2020-08-14,34.45,34.29,35.46,35.05,8740700
164,2020-08-13,34.49,34.1,34.92,34.61,5937679
165,2020-08-12,35.5,34.75,36.0,34.84,8998737
166,2020-08-11,34.47,34.23,35.56,34.96,12160483
167,2020-08-10,34.06,33.55,34.28,33.8,6043193
168,2020-08-07,33.02,32.84,34.06,34.04,7823115
169,2020-08-06,33.58,33.02,33.98,33.14,8077700
170,2020-08-05,34.21,33.88,34.35,34.2,8279431
171,2020-08-04,33.11,33.11,33.95,33.95,14859277
172,2020-08-03,33.28,32.79,33.62,33.34,7285614
173,2020-07-31,33.43,32.66,33.47,33.15,10385035
174,2020-07-30,33.44,32.89,33.73,33.58,7323592
175,2020-07-29,33.71,33.43,34.11,34.08,6592700
176,2020-07-28,33.6,33.55,34.02,33.66,8882806
177,2020-07-27,34.55,33.65,34.68,33.84,10588156
178,2020-07-24,35.21,34.72,35.51,34.94,6578036
179,2020-07-23,34.8,34.51,35.85,35.21,7457300
180,2020-07-22,35.05,34.47,35.17,34.86,7585000
181,2020-07-21,34.05,34.02,35.36,35.24,11387134
182,2020-07-20,33.42,33.04,33.94,33.84,9564139
183,2020-07-17,34.92,33.43,35.09,33.44,11840603
184,2020-07-16,34.89,34.45,36.08,34.92,12191446
185,2020-07-15,35.11,34.79,35.81,35.66,9873300
186,2020-07-14,34.28,33.97,34.88,34.55,7862300
187,2020-07-13,35.21,34.31,35.44,34.43,8679900
188,2020-07-10,33.81,33.81,34.91,34.8,6258806
189,2020-07-09,34.31,33.42,34.46,33.88,8475822
190,2020-07-08,34.02,33.76,34.53,34.43,6916000
191,2020-07-07,33.8,33.53,34.18,33.89,7198781
192,2021-01-04,53.22,51.93,53.47,52.76,8650000
193,2020-12-31,52.55,52.26,53.12,53.04,4085100
194,2020-12-30,52.54,52.35,52.93,52.41,3971500
195,2020-12-29,52.99,52.52,53.33,52.54,3421500
196,2020-12-28,52.62,52.28,52.97,52.94,4635051
197,2020-12-24,52.38,51.84,52.38,52.06,1633112
198,2020-12-23,51.85,51.6,52.71,52.35,4254103
199,2020-12-22,51.75,51.45,52.07,51.64,5444435
200,2020-12-21,51.9,50.95,52.06,51.75,7605579
201,2020-12-18,51.89,51.33,52.22,51.98,16739600
202,2020-12-17,51.7,51.31,52.04,51.78,7291028
203,2020-12-16,51.06,50.61,51.71,51.68,7448029
204,2020-12-15,50.28,50.02,51.54,51.05,7674600
205,2020-12-14,50.39,49.82,51.69,49.84,7981000
206,2020-12-11,49.28,48.89,49.52,49.43,7629787
207,2020-12-10,50.16,49.53,50.37,50.1,7825323
208,2020-12-09,50.92,50.16,51.0,50.55,5592017
209,2020-12-08,50.15,50.15,50.97,50.55,7494512
210,2020-12-07,50.59,50.46,51.07,50.76,7657147
211,2020-12-04,51.42,50.96,51.81,50.99,7371400
212,2020-12-03,50.64,50.23,51.23,51.07,7579300
213,2020-12-02,49.58,49.55,51.0,50.86,6785281
214,2020-12-01,50.08,49.67,51.02,50.02,12399991
215,2020-11-30,49.46,48.51,49.74,48.78,21664600
216,2020-11-27,49.61,49.46,50.09,49.7,4626640
217,2020-11-25,49.07,48.87,50.15,49.75,9898159
218,2020-11-24,48.93,48.6,49.88,49.79,10117354
219,2020-11-23,47.28,46.73,48.35,48.24,6970721
220,2020-11-20,46.67,46.42,46.95,46.61,6365831
221,2020-11-19,46.91,46.25,47.33,47.08,11022251
222,2020-11-18,48.92,47.7,49.84,47.7,15442400
223,2020-11-17,46.86,46.75,48.94,48.9,16788620
224,2020-11-16,47.09,45.98,47.41,46.89,10664000
225,2020-11-13,45.09,45.01,46.23,46.0,7519373
226,2020-11-12,45.4,44.26,45.5,44.72,9621962
227,2020-11-11,47.45,45.89,47.48,46.23,14938438
228,2020-11-10,45.27,44.87,46.49,46.42,10791888
229,2020-11-09,45.19,43.76,45.89,44.96,14747812
230,2020-11-06,41.98,40.98,42.0,41.13,6824116
231,2020-11-05,40.8,40.8,42.2,41.45,9876000
232,2020-11-04,39.99,39.5,41.96,40.84,15044200
233,2020-11-03,42.09,42.09,43.77,42.56,12927331
234,2020-11-02,41.27,40.89,42.69,41.26,12719840
235,2020-10-30,40.1,40.0,41.14,41.11,13154627
236,2020-10-29,37.97,37.33,40.78,40.31,14757254
237,2020-10-28,37.84,37.29,38.53,38.15,13941437
238,2020-10-27,39.05,38.31,39.22,38.47,7881951
239,2020-10-26,39.82,38.67,40.0,39.15,11991800
240,2020-10-23,40.72,39.92,40.93,40.35,8243400
241,2020-10-22,38.92,38.71,40.27,40.13,10094088
242,2020-10-21,39.13,38.74,39.42,38.93,7673000
243,2020-10-20,39.19,39.08,40.12,39.13,9961378
244,2020-10-19,39.41,38.73,39.56,38.89,12294107
245,2020-10-16,39.28,38.56,39.77,39.29,14090513
246,2020-10-15,37.31,37.24,39.04,39.03,15406697
247,2020-10-14,37.3,37.01,37.94,37.12,10014150
248,2020-10-13,38.33,37.41,38.51,37.61,10841100
249,2020-10-12,38.25,37.9,38.53,38.47,14481628
250,2020-10-09,38.2,37.57,38.46,38.23,11644108
251,2020-10-08,37.83,37.44,37.95,37.74,10818300
252,2020-10-07,37.49,36.9,38.16,37.78,18282600
253,2020-10-06,37.14,36.07,37.46,36.75,19905327
254,2021-04-05,68.21,67.77,68.89,68.15,8211814
255,2021-04-01,65.14,65.04,66.49,66.44,5796977
256,2021-03-31,65.08,64.34,65.65,65.18,7536130
257,2021-03-30,64.28,63.98,65.07,64.76,6300200
258,2021-03-29,64.66,63.6,65.43,64.11,8113689
259,2021-03-26,65.91,64.94,66.07,65.71,6082163
260,2021-03-25,63.86,63.07,65.46,65.13,6220600
261,2021-03-24,64.08,64.02,65.77,64.12,5796717
262,2021-03-23,64.38,63.28,64.93,63.36,6259631
263,2021-03-22,65.34,64.73,65.73,64.77,5138851
264,2021-03-19,65.38,64.8,66.59,66.05,10670300
265,2021-03-18,66.91,65.99,67.9,66.07,7417383
266,2021-03-17,66.67,65.14,66.67,65.7,6881500
267,2021-03-16,66.1,65.02,66.1,65.47,5632400
268,2021-03-15,67.39,65.46,67.65,66.34,6856439
269,2021-03-12,67.0,66.76,68.21,67.65,5643300
270,2021-03-11,64.8,64.55,66.86,66.41,9233694
271,2021-03-10,64.16,63.87,65.07,65.03,8930603
272,2021-03-09,64.03,62.33,65.04,63.75,9761810
273,2021-03-08,65.32,64.34,65.63,64.46,8663244
274,2021-03-05,66.1,63.04,66.61,65.02,10204000
275,2021-03-04,64.82,63.03,65.17,64.77,11204326
276,2021-03-03,64.26,63.91,66.23,64.96,8831100
277,2021-03-02,63.71,63.43,64.78,63.8,6079650
278,2021-03-01,62.59,62.57,64.93,64.1,5863700
279,2021-02-26,62.91,61.25,63.28,61.72,9543676
280,2021-02-25,64.35,62.97,65.24,63.1,10584110
281,2021-02-24,63.0,62.49,65.43,64.44,11535329
282,2021-02-23,63.45,61.44,63.45,62.67,8613271
283,2021-02-22,62.65,62.08,63.09,62.95,8049400
284,2021-02-19,62.44,61.14,63.45,61.91,8421356
285,2021-02-18,60.99,60.64,62.23,61.93,6157700
286,2021-02-17,60.61,60.36,61.39,61.3,9507567
287,2021-02-16,58.93,58.64,61.35,60.95,11008933
288,2021-02-12,55.93,55.81,58.26,58.19,8138119
289,2021-02-11,55.65,55.41,56.37,55.93,6040402
290,2021-02-10,56.6,55.37,56.89,55.7,7549406
291,2021-02-09,55.48,54.98,56.53,56.27,5541200
292,2021-02-08,55.98,55.22,56.11,55.85,5377144
293,2021-02-05,55.69,55.29,56.39,55.74,7994697
294,2021-02-04,53.87,53.63,55.2,55.2,7891037
295,2021-02-03,54.68,52.96,55.32,53.46,10230566
296,2021-02-02,54.13,54.11,55.34,54.54,8720628
297,2021-02-01,52.13,51.97,53.72,53.37,8601101
298,2021-01-29,53.26,50.77,53.29,51.54,17772200
299,2021-01-28,53.65,53.57,55.42,53.74,11278600
