,date,open,low,high,close,volume
0,2020-01-06,188.98,187.52,191.74,190.4,1615163
1,2020-01-03,187.36,186.28,189.91,189.53,1311679
2,2020-01-02,189.97,186.66,190.0,188.3,1060500
3,2020-04-06,138.05,137.01,143.81,142.26,2402100
4,2020-04-03,135.01,125.61,135.01,132.17,3291127
5,2020-04-02,127.0,117.72,132.93,131.22,5828600
6,2020-04-01,138.58,135.52,142.66,136.88,1643240
7,2020-03-31,144.6,142.0,149.48,143.36,1792327
8,2020-03-30,144.2,140.0,147.89,146.44,1793600
9,2020-03-27,135.0,135.0,148.8,144.88,3154134
10,2020-03-26,128.39,127.8,142.51,140.69,2699961
11,2020-03-25,124.75,123.73,133.73,126.61,3302679
12,2020-03-24,111.14,107.69,125.0,123.82,3815089
13,2020-03-23,117.25,104.28,119.7,105.64,5876300
14,2020-03-20,126.6,116.39,129.98,119.7,3165905
15,2020-03-19,120.0,114.67,125.53,123.06,2497358
16,2020-03-18,116.43,107.16,124.31,121.25,3366857
17,2020-03-17,125.58,110.04,127.11,124.45,3369649
18,2020-03-16,118.23,107.0,127.4,124.75,3623540
19,2020-03-13,141.24,122.37,143.24,132.98,3842465
20,2020-03-12,144.1,129.85,144.7,131.43,3220900
21,2020-03-11,161.16,153.85,162.81,155.07,1913865
22,2020-03-10,168.41,160.51,169.92,165.32,2004217
23,2020-03-09,168.0,161.46,172.09,164.24,1775400
24,2020-03-06,176.69,175.25,181.31,179.07,1667461
25,2020-03-05,181.69,179.45,186.19,182.77,1602017
26,2020-03-04,179.47,178.0,186.8,185.96,1444846
27,2020-03-03,178.28,174.92,183.45,177.59,1956900
28,2020-03-02,173.25,169.27,177.22,177.22,2010424
29,2020-02-28,170.27,163.53,172.39,172.38,3371225
30,2020-02-27,188.09,175.55,188.41,175.66,2282582
31,2020-02-26,196.44,190.78,197.66,190.97,1125411
32,2020-02-25,202.0,193.7,202.43,195.29,1369600
33,2020-02-24,202.4,200.39,204.35,201.54,1146001
34,2020-02-21,207.9,205.97,208.24,207.4,798918
35,2020-02-20,206.64,205.24,208.55,208.34,821700
36,2020-02-19,204.21,203.98,207.5,206.64,805752
37,2020-02-18,203.14,200.72,205.32,203.82,903700
38,2020-02-14,202.7,202.22,206.44,203.83,1373860
39,2020-02-13,198.92,198.0,202.6,201.19,819551
40,2020-02-12,199.67,197.87,200.44,198.72,713400
41,2020-02-11,200.01,198.1,201.21,199.94,994546
42,2020-02-10,199.43,198.63,201.46,200.07,918538
43,2020-02-07,198.64,197.58,200.81,200.34,1223818
44,2020-02-06,198.0,197.63,200.39,199.8,1171613
45,2020-02-05,193.82,193.82,197.66,197.14,1338429
46,2020-02-04,191.6,191.48,194.96,192.89,1205800
47,2020-02-03,188.96,188.0,189.9,189.12,826569
48,2020-01-31,189.9,187.71,191.43,188.3,1003700
49,2020-01-30,192.14,189.86,192.3,190.79,723228
50,2020-01-29,192.79,190.83,193.79,192.58,624309
51,2020-01-28,191.45,190.68,194.97,192.75,985400
52,2020-01-27,190.0,189.05,191.92,190.9,1028410
53,2020-01-24,193.98,190.46,194.68,191.56,853100
54,2020-01-23,191.32,190.91,194.13,193.97,1089800
55,2020-01-22,192.66,191.38,194.44,191.94,1695500
56,2020-01-21,187.45,187.2,191.39,190.23,2038126
57,2020-01-17,191.12,189.67,193.38,189.95,1787900
58,2020-01-16,191.54,190.33,192.25,190.86,856000
59,2020-01-15,189.99,189.69,192.62,190.85,842620
60,2020-01-14,189.27,188.97,191.59,190.83,1292252
61,2020-01-13,188.11,187.45,190.0,188.44,1401638
62,2020-01-10,192.09,187.6,192.64,188.38,1881300
63,2020-01-09,191.9,190.61,195.96,193.59,2476163
64,2020-01-08,188.75,182.17,193.75,190.29,4579078
65,2020-01-07,189.18,183.31,189.94,183.6,2317168
66,2020-07-06,188.12,185.21,189.38,186.49,1004862
67,2020-07-02,189.18,185.39,190.74,185.8,1895100
68,2020-07-01,182.93,182.04,189.92,185.88,3465200
69,2020-06-30,174.79,172.34,175.11,174.95,1134231
70,2020-06-29,170.0,168.4,174.49,174.17,1160699
71,2020-06-26,174.09,166.52,174.09,168.99,1662908
72,2020-06-25,171.74,168.74,174.01,173.33,1132557
73,2020-06-24,178.65,171.41,179.74,171.66,1418700
74,2020-06-23,181.22,179.34,182.13,180.46,857329
75,2020-06-22,180.44,178.12,181.99,179.71,984300
76,2020-06-19,187.65,181.22,189.37,181.41,2638300
77,2020-06-18,178.55,177.85,184.51,184.25,1230003
78,2020-06-17,178.71,177.43,180.46,178.71,978357
79,2020-06-16,179.28,173.7,180.26,177.46,1276300
80,2020-06-15,166.53,164.25,174.95,173.69,1132807
81,2020-06-12,172.94,167.27,173.83,170.28,929300
82,2020-06-11,173.86,167.82,175.57,168.67,1500812
83,2020-06-10,183.59,179.29,183.59,180.3,1299415
84,2020-06-09,182.64,180.07,183.81,183.4,1135357
85,2020-06-08,183.53,183.01,186.33,185.93,960462
86,2020-06-05,179.07,177.59,183.26,181.42,1753530
87,2020-06-04,174.69,173.36,176.26,175.73,1899041
88,2020-06-03,173.47,172.77,176.17,174.82,1201859
89,2020-06-02,174.29,171.37,175.24,173.23,1158563
90,2020-06-01,172.4,171.28,176.28,173.25,1401223
91,2020-05-29,172.71,170.54,176.23,172.7,1669166
92,2020-05-28,180.0,175.23,180.0,175.44,823506
93,2020-05-27,179.24,171.36,179.43,179.38,1428516
94,2020-05-26,175.1,174.95,179.08,176.41,1505500
95,2020-05-22,170.87,168.16,172.82,172.31,1051376
96,2020-05-21,171.79,168.29,172.51,171.0,971800
97,2020-05-20,171.39,169.36,173.62,172.47,1125518
98,2020-05-19,167.63,165.45,172.66,168.9,1094556
99,2020-05-18,161.84,161.84,169.48,168.51,1848628
100,2020-05-15,157.23,155.9,160.09,158.49,1112459
101,2020-05-14,152.77,151.53,158.28,157.96,1376949
102,2020-05-13,161.0,153.1,161.0,155.32,1669252
103,2020-05-12,165.19,160.47,165.37,160.52,917700
104,2020-05-11,163.02,162.12,166.33,163.3,1262550
105,2020-05-08,160.8,159.55,166.85,166.06,1129124
106,2020-05-07,167.73,163.67,168.0,164.77,860365
107,2020-05-06,164.11,163.14,166.96,165.48,932050
108,2020-05-05,164.0,162.38,165.61,163.01,1055084
