,date,open,low,high,close,volume
0,2020-01-06,29.43,29.3,29.55,29.51,51268521
1,2020-01-03,29.12,29.11,29.59,29.48,36323375
2,2020-01-02,29.56,29.22,29.6,29.33,43165445
3,2020-04-06,21.44,21.37,22.4,22.22,70947504
4,2020-04-03,21.53,20.57,21.69,20.73,70806669
5,2020-04-02,21.13,21.13,21.79,21.71,44805904
6,2020-04-01,21.42,20.91,21.57,21.17,72400275
7,2020-03-31,22.67,21.93,22.74,22.0,92495487
8,2020-03-30,22.57,22.25,22.95,22.82,55155277
9,2020-03-27,22.41,22.05,23.26,22.52,61456658
10,2020-03-26,21.65,21.65,23.37,23.1,84915804
11,2020-03-25,21.19,20.66,22.59,21.44,90129670
12,2020-03-24,21.13,20.26,21.36,21.2,101090803
13,2020-03-23,20.67,19.68,20.91,20.21,128361441
14,2020-03-20,22.99,21.27,23.02,21.47,154658154
15,2020-03-19,23.67,23.02,24.52,23.51,80576450
16,2020-03-18,24.15,22.83,24.84,24.79,100737697
17,2020-03-17,24.24,24.16,25.71,25.47,79019494
18,2020-03-16,23.4,23.34,25.58,24.01,77872907
19,2020-03-13,24.85,24.04,26.12,26.02,85705899
20,2020-03-12,24.05,23.44,25.23,23.65,111576461
21,2020-03-11,26.3,25.78,26.47,26.05,60071392
22,2020-03-10,26.8,25.84,27.09,27.06,75069431
23,2020-03-09,26.42,25.95,27.29,26.18,90051423
24,2020-03-06,27.71,27.31,28.12,27.95,64765021
25,2020-03-05,28.23,27.9,28.62,28.06,60015310
26,2020-03-04,27.94,27.72,28.85,28.82,55738858
27,2020-03-03,28.12,27.07,28.65,27.4,84539007
28,2020-03-02,26.7,26.64,28.24,28.06,90666356
29,2020-02-28,25.66,24.92,26.96,26.58,160444594
30,2020-02-27,27.61,26.69,27.86,26.97,87874704
31,2020-02-26,28.07,27.87,28.52,28.0,53351158
32,2020-02-25,28.76,28.12,28.89,28.19,64769165
33,2020-02-24,28.67,28.67,29.07,28.72,46221533
34,2020-02-21,29.07,28.96,29.19,29.1,37717471
35,2020-02-20,28.98,28.92,29.19,29.14,36005561
36,2020-02-19,28.86,28.8,29.17,29.01,29944258
37,2020-02-18,28.82,28.71,28.92,28.88,32168619
38,2020-02-14,28.89,28.76,29.04,28.87,36287408
39,2020-02-13,28.59,28.57,29.01,28.92,32629054
40,2020-02-12,28.82,28.7,28.93,28.71,41481687
41,2020-02-11,29.05,28.61,29.3,28.81,42367555
42,2020-02-10,29.0,28.76,29.09,28.94,24569329
43,2020-02-07,29.02,28.95,29.22,29.02,33385612
44,2020-02-06,28.58,28.58,29.04,29.01,34728920
45,2020-02-05,28.48,28.32,28.64,28.54,32642122
46,2020-02-04,27.99,27.88,28.49,28.4,42342158
47,2020-02-03,28.65,27.78,28.66,27.9,54036992
48,2020-01-31,28.17,28.12,28.5,28.39,54532752
49,2020-01-30,27.53,27.41,28.27,28.25,67146154
50,2020-01-29,29.06,27.95,29.1,27.96,76810103
51,2020-01-28,28.92,28.89,29.29,29.12,40870187
52,2020-01-27,28.7,28.69,29.11,28.87,46664936
53,2020-01-24,29.13,28.86,29.27,29.06,45662992
54,2020-01-23,29.41,29.1,29.43,29.16,38432562
