,date,open,low,high,close,volume
0,2020-01-06,53.54,53.5,54.5,54.29,838960
1,2020-01-03,54.43,53.75,54.7,54.17,434400
2,2020-01-02,55.14,54.17,55.15,54.87,471600
3,2020-04-06,47.97,47.35,49.02,48.64,586832
4,2020-04-03,47.39,45.62,47.63,46.6,780800
5,2020-04-02,46.28,45.04,47.9,47.71,574888
6,2020-04-01,46.44,45.13,47.07,46.36,758800
7,2020-03-31,47.54,46.66,48.71,47.41,1137600
8,2020-03-30,46.53,45.68,47.98,47.7,790400
9,2020-03-27,45.57,43.9,47.34,46.1,738860
10,2020-03-26,43.35,43.04,46.7,46.58,1063200
11,2020-03-25,42.33,41.08,43.73,43.12,822400
12,2020-03-24,43.91,40.95,45.93,42.47,1179472
13,2020-03-23,41.92,38.79,43.27,42.59,1421200
14,2020-03-20,41.14,41.0,44.6,41.82,1182400
15,2020-03-19,41.06,39.53,42.9,41.61,890892
16,2020-03-18,40.34,39.41,42.97,41.18,1148800
17,2020-03-17,41.1,40.46,43.7,42.38,1489600
18,2020-03-16,41.63,40.02,44.01,40.29,1409600
19,2020-03-13,41.96,40.78,44.91,44.91,2218936
20,2020-03-12,42.96,41.23,43.97,41.62,1807600
21,2020-03-11,46.11,44.66,46.39,45.15,1599340
22,2020-03-10,48.03,45.6,48.29,47.0,1490000
23,2020-03-09,46.06,45.9,48.07,47.17,1357600
24,2020-03-06,47.23,45.96,49.03,48.55,993200
25,2020-03-05,48.49,47.71,49.49,48.52,766400
26,2020-03-04,49.18,48.9,50.02,49.42,1183636
27,2020-03-03,49.35,48.1,49.97,48.35,1031600
28,2020-03-02,47.55,47.25,49.59,49.41,865368
29,2020-02-28,47.25,46.46,48.24,47.22,1692000
30,2020-02-27,48.82,47.3,50.41,48.25,823320
31,2020-02-26,49.81,49.41,50.74,49.46,697200
32,2020-02-25,50.59,49.28,50.59,49.41,858944
33,2020-02-24,50.02,49.31,50.59,50.41,652492
34,2020-02-21,52.01,51.49,52.66,51.51,595396
35,2020-02-20,52.58,51.54,52.67,52.22,455600
36,2020-02-19,51.76,51.65,52.82,52.66,441600
