,date,open,low,high,close,volume
0,2020-01-06,70.32,70.23,71.36,70.87,20082493
1,2020-01-03,71.34,70.16,71.37,70.33,17390568
2,2020-01-02,70.24,70.24,71.02,70.9,12456400
3,2020-04-06,39.88,39.23,40.83,40.47,41344025
4,2020-04-03,41.45,38.52,42.18,39.21,48425700
5,2020-04-02,38.74,37.9,41.96,40.4,62000200
6,2020-04-01,36.86,36.34,38.7,37.53,36045930
7,2020-03-31,38.34,37.37,39.45,37.97,41491612
8,2020-03-30,36.23,35.86,38.15,37.5,45835000
9,2020-03-27,37.13,36.2,37.68,36.95,51558600
10,2020-03-26,37.5,36.72,39.56,38.82,46754736
11,2020-03-25,36.51,35.18,38.59,37.29,56607700
12,2020-03-24,34.42,33.33,36.17,35.44,61835603
13,2020-03-23,32.53,30.11,32.7,31.45,56952500
14,2020-03-20,34.84,31.56,35.18,32.74,76534632
15,2020-03-19,33.73,32.35,34.9,34.43,49412441
16,2020-03-18,34.55,31.23,36.71,33.12,54036416
17,2020-03-17,35.21,34.2,37.38,36.81,41204445
18,2020-03-16,34.4,33.25,37.88,34.49,48924723
19,2020-03-13,40.01,35.0,40.14,38.12,79891532
20,2020-03-12,39.9,37.0,40.65,37.18,65725310
21,2020-03-11,42.39,41.75,43.48,41.98,52015036
22,2020-03-10,46.17,41.45,46.26,43.41,60445900
23,2020-03-09,41.71,40.8,44.57,41.86,72896300
24,2020-03-06,48.84,47.2,49.01,47.69,55640500
25,2020-03-05,50.42,49.04,50.7,50.11,40788200
26,2020-03-04,52.23,51.12,52.48,52.42,24079615
27,2020-03-03,53.95,50.98,54.15,51.3,50580700
28,2020-03-02,52.59,51.13,53.89,53.88,38127634
29,2020-02-28,48.77,48.01,51.44,51.44,62468380
30,2020-02-27,51.71,49.8,52.44,49.82,48141300
31,2020-02-26,54.55,52.93,54.82,53.01,29812354
32,2020-02-25,56.75,53.97,56.75,54.2,36414538
33,2020-02-24,57.62,56.36,57.8,56.36,32096615
34,2020-02-21,59.51,58.79,59.51,59.13,20315705
35,2020-02-20,60.23,59.72,60.54,59.86,14817238
36,2020-02-19,60.11,59.83,60.62,60.34,12804907
37,2020-02-18,60.15,59.45,60.39,59.88,18954757
38,2020-02-14,61.15,60.28,61.16,60.65,10855300
39,2020-02-13,61.06,60.56,61.42,60.93,16949400
40,2020-02-12,61.34,60.56,61.53,61.27,17862134
41,2020-02-11,60.58,60.17,60.89,60.53,14908715
42,2020-02-10,60.48,59.62,60.52,59.96,20934500
43,2020-02-07,61.41,61.06,61.66,61.47,15112535
44,2020-02-06,62.93,61.78,63.01,61.88,16055400
45,2020-02-05,60.75,60.6,62.93,62.73,32099203
46,2020-02-04,61.45,59.89,61.91,59.97,31922100
47,2020-02-03,61.38,60.37,61.42,60.73,27397306
48,2020-01-31,63.2,61.86,63.2,62.12,34282900
49,2020-01-30,63.78,63.43,64.88,64.79,18544700
50,2020-01-29,65.03,63.9,65.13,64.11,14229484
51,2020-01-28,65.11,64.63,65.2,64.65,19664700
52,2020-01-27,65.42,64.7,65.73,64.74,21231010
53,2020-01-24,66.54,66.04,66.68,66.32,18238600
54,2020-01-23,66.71,66.05,66.93,66.77,19605900
55,2020-01-22,67.56,67.0,67.7,67.19,17033140
56,2020-01-21,68.38,67.51,68.42,67.58,17982600
57,2020-01-17,68.75,68.29,69.08,68.56,18144100
58,2020-01-16,69.3,68.8,69.58,68.82,13340349
59,2020-01-15,69.2,68.89,69.59,69.09,11390300
60,2020-01-14,69.38,68.89,69.58,69.2,16267403
61,2020-01-13,69.2,69.11,69.87,69.8,9965210
62,2020-01-10,69.93,69.12,69.96,69.14,11997133
63,2020-01-09,69.14,68.63,69.9,69.76,14812442
64,2020-01-08,70.11,69.17,70.29,69.23,15140731
65,2020-01-07,70.5,69.51,70.52,70.29,17496314
66,2020-07-06,44.67,43.84,45.08,44.39,22692048
67,2020-07-02,44.62,43.93,45.19,44.08,18216600
